Jan-04,Sunday,Id-E-Milad
Jan-26,Monday,Republic Day
Feb-17,Tuesday,Maha Shivratri
Mar-06,Friday,Holi
Mar-28,Saturday,Ram Navami
Apr-02,Thursday,Mahavir Jayanthi
Apr-03,Friday,Good Friday
May-01,Friday,May Day
May-04,Monday,Buddha Purnima
Jul-18,Saturday,Id-Ul-Fitr
Aug-15,Saturday,Independence Day
Sep-05,Saturday,Krishna Janmastami
Sep-17,Thursday,Ganesh Chaturthi
Oct-02,Friday,Mahatma Gandhi Jayanthi
Oct-22,Thursday,Vijaya Dashami
Oct-24,Saturday,Muharram
Nov-11,Wednesday,Diwali
Nov-25,Wednesday,Guru Nanak Jayanthi
Dec-24,Thursday,Id-E-Milad
Dec-25,Friday,Christmas
