Friday,01-Jan-16,New Year's Day,Restricted Holiday
Thursday,14-Jan-16,Makar Sankranti,Restricted Holiday
Friday,15-Jan-16,Pongal,Restricted Holiday
Saturday,16-Jan-16,Guru Govind Singh Jayanti,Restricted Holiday
Tuesday,26-Jan-16,Republic Day,Gazetted Holiday
Friday,12-Feb-16,Vasant Panchami,Restricted Holiday
Friday,19-Feb-16,Shivaji Jayanti,Restricted Holiday
Monday,22-Feb-16,Guru Ravidas Jayanti,Restricted Holiday
Friday,04-Mar-16,Maharishi Dayanand Saraswati Jayanti,Restricted Holiday
Monday,07-Mar-16,Maha Shivaratri/Shivaratri,Gazetted Holiday
Wednesday,23-Mar-16,Holika Dahana,Restricted Holiday
Thursday,24-Mar-16,Dolyatra,Restricted Holiday
Friday,25-Mar-16,Good Friday,Gazetted Holiday
Sunday,27-Mar-16,Easter Day,Restricted Holiday
Friday,08-Apr-16,Chaitra Sukhladi,Restricted Holiday
Wednesday,13-Apr-16,Vaisakhi,Restricted Holiday
Thursday,14-Apr-16,Mesadi/Vaisakhadi,Restricted Holiday
Friday,15-Apr-16,Rama Navami,Gazetted Holiday
Wednesday,20-Apr-16,Mahavir Jayanti,Gazetted Holiday
Thursday,21-Apr-16,Hazarat Ali's Birthday,Restricted Holiday
Sunday,08-May-16,Birthday of Ravindranath,Restricted Holiday
Saturday,21-May-16,Buddha Purnima/Vesak,Gazetted Holiday
Friday,01-Jul-16,Jamat Ul-Vida,Restricted Holiday
Wednesday,06-Jul-16,Rath Yatra,Restricted Holiday
Friday,08-Jul-16,Ramzan Id/Eid-ul-Fitar,Gazetted Holiday
Monday,15-Aug-16,Independence Day,Gazetted Holiday
Thursday,18-Aug-16,Raksha Bandhan (Rakhi),Restricted Holiday
Thursday,25-Aug-16,Janmashtami,Gazetted Holiday
Monday,05-Sep-16,Ganesh Chaturthi/Vinayaka Chaturthi,Restricted Holiday
Monday,12-Sep-16,Id-ul-Zuha(Bakrid),Restricted Holiday
Wednesday,14-Sep-16,Onam,Restricted Holiday
Sunday,02-Oct-16,Mahatma Gandhi Jayanti,Gazetted Holiday
Tuesday,11-Oct-16,Dussehra (Maha Navami),Gazetted Holiday
Wednesday,12-Oct-16,Muharram/Ashura,Gazetted Holiday
Sunday,16-Oct-16,Maharishi Valmiki Jayanti,Restricted Holiday
Wednesday,19-Oct-16,Karaka Chaturthi (Karva Chauth),Restricted Holiday
Saturday,29-Oct-16,Naraka Chaturdasi,Restricted Holiday
Sunday,30-Oct-16,Diwali/Deepavali,Gazetted Holiday
Monday,31-Oct-16,Govardhan Puja,Restricted Holiday
Tuesday,01-Nov-16,Bhai Duj,Restricted Holiday
Sunday,06-Nov-16,Chhat Puja (Pratihar Sashthi/Surya Sashthi),Restricted Holiday
Thursday,24-Nov-16,Guru Tegh Bahadur's Martyrdom Day,Restricted Holiday
Tuesday,13-Dec-16,Milad un-Nabi/Id-e-Milad,Gazetted Holiday
Saturday,24-Dec-16,Christmas Eve,Restricted Holiday
Sunday,25-Dec-16,Christmas,Gazetted Holiday
